content,from,label
We've noticed suspicious activity. Secure your account by clicking here.,security@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,security@unknown.com,phishing
Claim your reward by clicking on this link.,verify@phish.com,phishing
"You’ve been selected for an exclusive offer! Don’t miss out, click here.",alerts@phishingsite.com,phishing
Your account is suspended! Please verify your information immediately.,support@unknown.com,phishing
Urgent! We have detected suspicious activity on your account. Click here to secure it now.,security@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,security@unknown.com,phishing
Urgent! We have detected suspicious activity on your account. Click here to secure it now.,alerts@phishingsite.com,phishing
Congratulations! You have won a prize! Click here to claim it.,verify@phish.com,phishing
Immediate action required: Your account has been compromised.,verify@phish.com,phishing
Claim your reward by clicking on this link.,alerts@phishingsite.com,phishing
We've noticed suspicious activity. Secure your account by clicking here.,security@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,support@unknown.com,phishing
Immediate action required: Your account has been compromised.,support@unknown.com,phishing
We've noticed suspicious activity. Secure your account by clicking here.,security@unknown.com,phishing
Urgent! We have detected suspicious activity on your account. Click here to secure it now.,support@unknown.com,phishing
Urgent! We have detected suspicious activity on your account. Click here to secure it now.,support@unknown.com,phishing
"You’ve been selected for an exclusive offer! Don’t miss out, click here.",alerts@phishingsite.com,phishing
Important: Account verification needed. Failure to verify may result in suspension.,support@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,support@unknown.com,phishing
We've noticed suspicious activity. Secure your account by clicking here.,security@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,security@unknown.com,phishing
Immediate action required: Your account has been compromised.,security@unknown.com,phishing
Important: Account verification needed. Failure to verify may result in suspension.,alerts@phishingsite.com,phishing
Claim your reward by clicking on this link.,alerts@phishingsite.com,phishing
Urgent! We have detected suspicious activity on your account. Click here to secure it now.,support@unknown.com,phishing
"You’ve been selected for an exclusive offer! Don’t miss out, click here.",alerts@phishingsite.com,phishing
We've noticed suspicious activity. Secure your account by clicking here.,security@unknown.com,phishing
We've noticed suspicious activity. Secure your account by clicking here.,alerts@phishingsite.com,phishing
"You’ve been selected for an exclusive offer! Don’t miss out, click here.",security@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,verify@phish.com,phishing
Claim your reward by clicking on this link.,security@unknown.com,phishing
Important: Account verification needed. Failure to verify may result in suspension.,security@unknown.com,phishing
Congratulations! You have won a prize! Click here to claim it.,alerts@phishingsite.com,phishing
Urgent! We have detected suspicious activity on your account. Click here to secure it now.,support@unknown.com,phishing
We've noticed suspicious activity. Secure your account by clicking here.,security@unknown.com,phishing
"You’ve been selected for an exclusive offer! Don’t miss out, click here.",verify@phish.com,phishing
Claim your reward by clicking on this link.,support@unknown.com,phishing
